"nom";"adresse";"departement";"codepostal";"nomcommune";"inseecommune";"lambert2x";"lambert2y";"substance"
"CARRIERE BOURJAC Monfort";"Le Grand bois";"04";"04600";"MONTFORT";"04127";888558;1902464;"CALCAIRE"
"Carrière CBA  Villeneuve ";"R.D. 13";"04";"04180";"VILLENEUVE";"04242";881878;1883447;"CALCAIRE"
"CARRIERE PERASSO Clarency";"Les Grandes Marques";"04";"04210";"VALENSOLE";"04230";885575;1873913;"CALCAIRE"
"CARRIERE SEC  BAR-SUR-LOUP";"ROUTE DE GOURDON";"06";"06620";"LE BAR SUR LOUP";"06010";972631;1866375;"CALCAIRE"
"CARRIERE SEC  GOURDON ";"BOIS DE GOURDON";"06";"06620";"GOURDON";"06068";972642;1866748;"CALCAIRE"
"CARRIERE BERMONT - VESCORN";"Le Vescorn";"06";"06710";"MASSOINS";"06082";987410;1892130;"CALCAIRE"
"CARRIERE SEC CLOTEIROL";"Le Cloteirol";"06";"06270";"VILLENEUVE LOUBET";"06161";983044;1861948;"CALCAIRE"
"CARRIERE SEC St André Tourette Levens";"Rte de Levens ";"06";"06730";"ST ANDRE DE LA ROCHE";"06114";998608;1873771;"CALCAIRE"
"CARRIERE SAG LA GUARDIA  TOUR SUR TINEE ";"LA TOUR SUR TINEE";"06";"06420";"LA TOUR";"06144";989919;1892844;"CALCAIRE"
"CARRIERE VICAT Santa Augusta (Peille)";"Santa augusta";"06";"06440";"BLAUSASC";"06019";1006375;1880817;"CALCAIRE"
"Carrière SCV Chateauneuf";"Combes d'Arneval";"84";"84230";"CHATEAUNEUF DU PAPE";"84037";796985;1899043;"BASALTES"
"CARRIERE SMV DELORME  ";"Le Lampourdier";"84";"84100";"ORANGE";"84087";796171;1901599;"CALCAIRE"
"CARRIERE LAFARGE GRANULATS SUD Orange";"Lampourdier et Maubuisson";"84";"84100";"ORANGE";"84087";796377;1901475;"CALCAIRE"
"CARRIERE DE PROVENCE";"Carrière d'Oppede";"84";"84580";"OPPEDE";"84086";829628;1873248;"CALCAIRE"
"CARRIERE CHAUX DE LA TOUR (LAGNES)";"LES ESPESSADES Saint PEYRE";"84";"84440";"ROBION";"84099";823785;1878360;"CALCAIRE"
"CARRIERE GRANULATS SYLVESTRE";"Carrière ""Les Vignarès""";"84";"84220";"CABRIERES D AVIGNON";"84025";825398;1880392;"CALCAIRE"
"CARRIERE TEYSSIER (VAISON)";"Les Roussillons";"84";"84110";"VAISON LA ROMAINE";"84137";817511;1918518;"CALCAIRE"
"CARRIERE BRONZO";"Vallon de l'Escargot";"13";"13400";"AUBAGNE";"13005";864928;1812927;"CALCAIRE"
"CARRIERE PERASSO (ST TRONC)";"Chemin du Vallon de Toulouse - St Tronc";"13";"13010";"MARSEILLE 10";"13210";852023;1811796;"CALCAIRE"
"CARRIERE LAFARGE GRANULATS SUD(CASSIS)";"Lieu-dit ""Brégadan""";"13";"13260";"CASSIS";"13022";861499;1809320;"CALCAIRE"
"CARRIERE LAFARGE GRANULATS SUD (LA FARE)";"Vallon de Vautubière - Le Coussou";"13";"13580";"LA FARE LES OLIVIERS";"13037";833399;1844563;"CALCAIRE"
"CARRIERE MONIER Puyloubier II";"Richaume Sud ";"13";"13114";"PUYLOUBIER";"13079";868134;1839061;"ARGILE"
"CARRIERE GSM";"Quartier St Jean   ";"13";"13300";"SALON DE PROVENCE";"13103";825573;1850405;"CALCAIRE"
"CARRIERE DE BOULBON SAS";"Le Grand Defens";"13";"13150";"BOULBON";"13017";790121;1878044;"CALCAIRE"
"CARRIERE BALLASTIERE DES ALPE Aubignosc ";"Le Jas";"04";"04200";"AUBIGNOSC";"04013";890455;1908524;"CALCAIRE"
"CARRIERE SOMAT";"La Cruelle ";"06";"06320";"LA TURBIE";"06150";1007281;1874377;"CALCAIRE"
"CARRIERE CHAUX DE PROVENCE -SACAM";" Ancien Chemin de Martigues";"13";"13161";"CHATEAUNEUF LES MARTIGUES";"13026";826326;1824197;"CALCAIRE"
"CARRIERE PESCE & FILS";"Les Boissieres";"84";"84410";"CRILLON LE BRAVE";"84041";825061;1904676;"CALCAIRE"
"CARRIERE COLAS EX/SCREG EX /COZZI Braux ";"Barmettes - Pont du Gay";"04";"04240";"BRAUX";"04032";950233;1894646;"CALCAIRE"
"CARRIERE SOTEC - Baguier";"Baguier";"83";"83230";"BORMES LES MIMOSAS";"83019";926781;1803679;"GNEISS"
"CARRIERE LAFARGE - Signes";"Croquefigue";"83";"83870";"SIGNES";"83127";881269;1814953;"CALCAIRE"
"CARRIERE DE LA  PEJADE - Fayence";"Route de Mons";"83";"83440";"FAYENCE";"83055";951165;1859933;"CALCAIRE"
"CARRIERE SNC PERRUCHINI -Grimaud";"St Pons -   Fangaroute";"83";"83310";"GRIMAUD";"83068";944358;1817234;"QUARTZ"
"CARRIERE SOTEC - Coste Dreche";"466 chemin du Landon";"83";"83230";"BORMES LES MIMOSAS";"83019";927017;1803772;"GNEISS"
"CARRIERE DU MONT CAUME - Evenos";"DOMAINE D'ORVES";"83";"83330";"EVENOS";"83053";890076;1806471;"MARBRE"
"CARRIERE SIMON ALAIN -Flayosc";"LA TUILIERE DES IMBERTS";"83";"83780";"FLAYOSC";"83058";923823;1844502;"DOLOMIE"
"CARRIERE BERTRAND SA - Figanières";"Lieu dit ""La Clue""";"83";"83830";"FIGANIERES";"83056";938851;1849738;"CALCAIRE"
"CARRIERE SOMECA-Draguignan";"ROUTE DE MONFERRAT";"83";"83001";"DRAGUIGNAN";"83050";931033;1849535;"CALCAIRE"
"CARRIERE GIE CARRELAGE SALERNES-Villecro";"""LA PLAINE""";"83";"83690";"VILLECROZE";"83149";919213;1847031;"ARGILE"
"CARRIERE GIE CARRELAGE SALERNES-Salernes";"""Gaudran""";"83";"83690";"SALERNES";"83121";913879;1846436;"ARGILE"
"CARRIERE DEBRESC - Aups";"PILABRE";"83";"83630";"AUPS";"83007";918271;1853136;"CALCAIRE"
"CARRIERE Valtinée";"quartier la lauzière";"06";"06420";"RIMPLAS";"06102";984795;1907995;"CALCAIRE"
"CARRIERE DE MOUGINS - LES BREGUIERES";"Chemin Pablo Picasso ";"06";"06250";"MOUGINS";"06085";978459;1854397;"CALCAIRE"
