"nom";"adresse";"departement";"codepostal";"nomcommune";"inseecommune";"lambert2x";"lambert2y";"substance"
"MOREL SARL Porcieu-Amblagnieu";"AU SAULT";"38";"38390";"PORCIEU AMBLAGNIEU";"38320";838036;2099393;"CALCAIRE"
"CARRIERES THOMAS (Ste Colombe sur Gand)";"Chatelus";"42";"42540";"STE COLOMBE SUR GAND";"42209";750480;2096999;"RHYOLITES"
"THOMAS Granulats (st georges hauteville)";"Montclaret";"42";"42610";"ST GEORGES HAUTE VILLE";"42228";737679;2061251;"BASALTES"
"DELMONICO DOREL Saint-Julien-Molin-Molet";"LES GOTTES";"42";"42220";"ST JULIEN MOLIN MOLETTE";"42246";777781;2039060;"GRANITE"
"SECA NORD (ex-Gianre et Gaillard)";"LES TEPPES (NORD)";"73";"73100";"GRESY SUR AIX";"73128";878506;2086642;"CALCAIRE"
"CARRIERE DE ROISSIAT";"LE TREMBLAY";"01";"01370";"COURMANGOUX";"01127";833599;2153777;"CALCAIRE"
"LA MASSE  DE DYNAMITAGE (ANNOISIN)";"CHAPOLAY";"38";"38460";"ANNOISIN CHATELANS";"38010";828982;2089165;"CALCAIRE"
"CARRIERES D ANNOISIN";"LES COTES MOLLARD SUBIN";"38";"38460";"ANNOISIN CHATELANS";"38010";830056;2090252;"CALCAIRE"
"CARRIÈRES  Rhône-Alpes";"""Combeau""";"38";"38390";"PORCIEU AMBLAGNIEU";"38320";837305;2097109;"CALCAIRE"
"CONCASS'ALPES ex REPELLIN";"LE MAUGIEL";"38";"38112";"MEAUDRE";"38225";853318;2021188;"CALCAIRE"
"VICAT CREYS MEPIEU (carrière)";"PRAILLES";"38";"38510";"CREYS MEPIEU";"38139";840787;2088287;"CALCAIRE"
"CARRIERES FROMANT RENCUREL";"MORAS";"38";"38680";"RENCUREL";"38333";846636;2018099;"CALCAIRE"
"CARRIERE DE LA RIVIERE";"FONTAINE D ARGIVAUX";"38";"38210";"LA RIVIERE";"38338";847845;2028698;"CALCAIRE"
"GUINET-DERRIAZ (ex La Pierre de France)";"lieu-dit ""Monsieur""";"38";"38118";"ST BAUDILLE DE LA TOUR";"38365";832076;2089737;"CALCAIRE"
"VICAT SASSENAGE LES COTES carrière";"LES COTES";"38";"38360";"SASSENAGE";"38474";860102;2029640;"MARNES"
"BALTHAZARD & COTTE SASSENAGE";"PRA PARIS";"38";"38360";"SASSENAGE";"38474";859681;2030920;"CALCAIRE"
"CHAUX CIMENTS ST HILAIRE carrière";"DUIN ET LA GAGNE";"38";"38460";"TREPT";"38515";831185;2081786;"CALCAIRE"
"SOVEMAT Vénosc";"LE PEUYE";"38";"38520";"VENOSC";"38534";894916;2006459;"GNEISS"
"CARRIERES RICHARD (St Just en Chevalet)";"ROC BONORY";"42";"42430";"ST JUST EN CHEVALET";"42248";715439;2104053;"PORPHYRE"
"CLARIANT PRODUCTION  (Ex SFBD)";"Thévenon Lachaud";"42";"42600";"GREZIEUX LE FROMENTAL";"42105";7906583;6502801;"ARGILE"
"BOUYER LEROUX STRUCTURE (ex IMERYS)carri";"Les Tuileries";"42";"42300";"MABLY";"42127";731920;2121598;"ARGILE"
"CARRIERES THOMAS (St Marcel de Félines)";"Le Chatelard - Chassenay";"42";"42122";"ST MARCEL DE FELINES";"42254";740276;2095957;"RHYOLITES"
"BOUYER LEROUX (ex IMERYS) les Sereines";"Les Sereines";"42";"42680";"ST MARCELLIN EN FOREZ";"42256";745190;2057738;"ARGILE"
"CARRIERES DE SAVY";"""Savie""";"42";"42330";"ST MEDARD EN FOREZ";"42264";756699;2066648;"GRANITE"
"CARRIERES VIAL";"""Goutte de l'Heur""";"42";"42130";"ST SIXTE";"42288";727564;2085480;"GRANITE"
"BOUYER LEROUX (ex IMERYS) Sury le Comtal";"L'Horme Les Appens";"42";"42450";"SURY LE COMTAL";"42304";744878;2060378;"ARGILE"
"FAMY SAS Ramasse Villereversure";"lieudits Marbre et Chaux Demarchand";"01";"01250";"RAMASSE";"01317";834031;2136023;"CALCAIRE"
"GONIN SA  PARMILIEU";"LES BROSSES";"38";"38390";"PARMILIEU";"38295";834231;2095519;"CALCAIRE"
"VINCENT Champdor";"Les Trablettes";"01";"01110";"CHAMPDOR";"01080";851016;2116869;"CALCAIRE"
"GOUVERNAYRE PERRIN ";"COURNE";"38";"38460";"TREPT";"38515";831789;2079782;"CALCAIRE"
"BRIERE Olivier";"Les Fourneaux";"28";"28500";"MARVILLE MOUTIERS BRULE";"28239";529588;2409071;"MARNES"
"MOREAU SAS";"Lieux-dits""Le Muid du Perolet""""La Pièce ";"45";"45310";"VILLENEUVE SUR CONIE";"45341";548410;2338301;"CALCAIRE"
"CIMENTS CALCIA -  CARRIERE";"Le Grand Champ de Beffes";"18";"18320";"BEFFES";"18025";649900;2231800;"CALCAIRE"
"JACQUET  - BLET ";"Les Grands Champs";"18";"18350";"BLET";"18031";631120;2210190;"CALCAIRE"
"BSTP - carrière de La Saule";"La Saule";"41";"41330";"AVERDON";"41009";525734;2299129;"CALCAIRE"
"MAIRIE DE MASSAY";"Le Grand Veau";"18";"18120";"MASSAY";"18140";574180;2237430;"CALCAIRE"
"STOCKER Serge";"Les Taillis de la Carrière";"18";"18360";"SAULZAIS LE POTIER";"18245";609950;2177330;"GRES"
"CAGU -  SUBDRAY";"Les Grands Usages";"18";"18570";"LE SUBDRAY";"18255";595600;2224600;"CALCAIRE"
"SMB - Guillonville";"Le Rondeau";"28";"28140";"GUILLONVILLE";"28190";550327;2341458;"CALCAIRE"
"CALCAIRES DUNOIS";"Villengeard";"28";"28200";"THIVILLE";"28389";530445;2335530;"CALCAIRE"
"SETEC (coings)";"La Pièce de la Garenne";"36";"36130";"COINGS";"36057";552600;2209738;"CALCAIRE"
"Entreprise MARTIN (SCOP)";"Les Pentes du Moulin Paulmier";"36";"36360";"FAVEROLLES";"36072";529930;2244595;"CALCAIRE"
"LHOIST FRANCE OUEST (St Gauthier) ";"Les Gaillards";"36";"36800";"ST GAULTIER";"36192";530623;2183134;"CALCAIRE"
"SETEC (ex :FERAY) (Varennes St maur)";"Les Pièces de Parcay  (1)";"36";"36250";"ST MAUR";"36202";545351;2204141;"CALCAIRE"
"SGG -  Lussault";"Les Hauts Boeufs";"37";"37400";"LUSSAULT SUR LOIRE";"37138";492559;2266091;"CALCAIRE"
"MORIN CARRIERES-Marigny Marmande";"Les Bruns-Les Pelouses";"37";"37120";"MARIGNY MARMANDE";"37148";457040;2218820;"CALCAIRE"
"COLAS CENTRE OUEST";"Le Haut Racan - Pâtures de Beauvais -";"37";"37370";"NEUVY LE ROI";"37170";471157;2288215;"CALCAIRE"
"SGG  Truyes (Hallebardeaux - Terrages)";"Les Hallebardeaux - Les Terrages- la Tai";"37";"37320";"TRUYES";"37263";487086;2255151;"CALCAIRE"
"SGG Truyes (Rochepipard Les pelouses)";"La Rochepipard - Les Pelouses";"37";"37320";"TRUYES";"37263";489033;2255991;"CALCAIRE"
"LIGERIENNE GRANULATS - Faverolles";"Clos Adam - Les Fosses Rassies";"41";"41400";"FAVEROLLES SUR CHER";"41080";511229;2259446;"CALCAIRE"
"CEMEX GRANULATS - Mulsans (Dolins)";"Dolins - Vallée de Bonpuits";"41";"41500";"MULSANS";"41156";526644;2299654;"CALCAIRE"
"CEMEX GRANULATS - Tripleville";"La Nivardière";"41";"41240";"TRIPLEVILLE";"41264";537382;2326970;"CALCAIRE"
"MINIER - Verdes ";"Pièce de derrière la Grange - Pièce de ";"41";"41240";"VERDES";"41270";531339;2330188;"CALCAIRE"
"LAFARGE GRANULATS";"Les Grands Réages - Vallée de la Mouise";"41";"41240";"VILLERMAIN";"41289";543784;2319679;"CALCAIRE"
"CIMENT ROUTE - Terres de Cortrat";"Terres de Cortrat";"45";"45700";"CORTRAT";"45105";633049;2322012;"CALCAIRE"
"ROLAND ";"Bonnet Blanc";"45";"45490";"PREFONTAINES";"45255";626440;2345610;"CALCAIRE"
"CARRIERES GUIGNARD";"Lieu-dit :""Le Chevelu""";"18";"18370";"ST SATURNIN";"18234";590000;2165300;"GNEISS"
"SOUPIRON (Faverolles)";"""La Cave Bodin""";"36";"36360";"FAVEROLLES";"36072";530527;2244255;"CALCAIRE"
"LAVAUX à Villedieu-sur-Indre";"Le Bois du Prieuré";"36";"36320";"VILLEDIEU SUR INDRE";"36241";537736;2202129;"CALCAIRE"
"BARDAT Sarl (la poussetière)";"La Poussetière";"45";"45220";"TRIGUERES";"45329";649031;2327570;"CALCAIRE"
"LA PIERRE DE LA CELLE ";"Les Champs Rotons";"18";"18200";"LA CELLE";"18042";609280;2196450;"CALCAIRE"
"CARRIERES DU BOISCHAUT -CDB";"Segondet";"18";"18370";"CHATEAUMEILLANT";"18057";591090;2171490;"AMPHIBOLITES"
"TEXROD - RENOROUTE-PLAIMPIED";"Les Montronds";"18";"18340";"PLAIMPIED GIVAUDINS";"18180";605000;2222900;"CALCAIRE"
"LAUMONIER & FILS-ST GEORGES/POISIEUX";"le Champ du Corbier Mignard";"18";"18200";"ST GEORGES DE POISIEUX";"18209";612195;2188540;"CALCAIRE"
"CEMEX GRANULATS - La Sablonnière";"Sablonnière - Bois des Places - La Folie";"28";"28150";"BEAUVILLIERS";"28032";551305;2367473;"CALCAIRE"
"GROUPE VILLEMAIN Ile de Franc(ex QUELIN)";"La Garenne";"28";"28630";"BERCHERES LES PIERRES";"28035";542913;2375862;"CALCAIRE"
"SMBP - Marmonneries";"Marmoneries - Lansainvilliers - Pommier";"28";"28150";"PRASVILLE";"28304";553684;2361210;"CALCAIRE"
"SMB - Prasville 2";"Remise de la Bête - Remise de Chesnay";"28";"28150";"PRASVILLE";"28304";554756;2364517;"CALCAIRE"
"CARRIERES DE CLUIS (exTRMC) ((Mouhers)";"Les Béjaudes - La Bouige - La Grange";"36";"36340";"MOUHERS";"36133";555958;2171927;"LEPTYNITES"
"MEAC (Ambrault)";"La Pièce des Carrières";"36";"36120";"AMBRAULT";"36003";570356;2199372;"CALCAIRE"
"JOURDAIN";"Les Carrières de Chaventon";"36";"36500";"BUZANCAIS";"36031";529413;2205797;"CALCAIRE"
"LHOIST FRANCE OUEST (ex BONARGENT GOYON)";"Terrier de Neuville - Champ de Garenne";"36";"36800";"CHASSENEUIL";"36042";532153;2182287;"CALCAIRE"
"LEFEVRE SA";"Chemin Neuf Est";"36";"36600";"VILLENTROIS";"36244";531650;2246125;"CALCAIRE"
"COOP.AGRI. AMENDEMENTS";"Le Bois Meslin";"37";"37160";"ABILLY";"37001";478012;2217897;"MARNES"
"CMGO (ex :RAMBAUD ) (Parnac) ";"Le Terrier - La Rochille - Les Balets";"36";"36170";"PARNAC";"36150";528464;2161048;"GNEISS"
"GUIGNARD (Pommiers)";"Les Ebeugnets";"36";"36190";"POMMIERS";"36160";548503;2168085;"GNEISS"
"SAS CARRIERES DES FORGES (ex P. AMBAZAC)";"Forges";"36";"36160";"POULIGNY ST MARTIN";"36164";572389;2168667;"LEPTYNITES"
"CARRIERES DU BREUIL VOLATRON & Fils";"Le Breuil";"36";"36300";"ST AIGNY";"36178";495779;2181205;"CALCAIRE"
"SGG - Bléré";"Les Carrières - Les Vezons ";"37";"37150";"BLERE";"37027";494351;2256914;"CALCAIRE"
"VAL DE LOIRE GRANULATS Averdon";"Le Dolin - Le Bout de la Vallée Poiriou";"41";"41330";"AVERDON";"41009";525809;2299078;"CALCAIRE"
"LIGERIENNE GRANULATS - Billy";"Vignes de la Route - Tertre Blanc";"41";"41130";"BILLY";"41016";538856;2255393;"CALCAIRE"
"MINIER - Maves (ex BAGLAN Alain)";"Le Bois Brûlé";"41";"41500";"MAVES";"41130";524541;2307708;"CALCAIRE"
"MINIER - Maves -Conan";"Le Haut Moron ";"41";"41500";"MAVES";"41130";524028;2306287;"CALCAIRE"
"CIMENT ROUTE";"Les Sablons";"45";"45700";"CORTRAT";"45105";632063;2324999;"CALCAIRE"
"SAVIA CENTRE (ex CRAMBES)";"Petit et Grand Secval ";"45";"45300";"DADONVILLE";"45119";596968;2350516;"CALCAIRE"
"CEMEX GRANULATS CENTRE Baccon";"Thorigny";"45";"45130";"BACCON";"45019";545180;2319980;"CALCAIRE"
"BARDAT Sarl (la Tour de Bourges)";"La Tour de Bourges";"45";"45220";"TRIGUERES";"45329";650421;2326397;"CALCAIRE"
"SGG - Beaumont La Ronce";"Les Pièces de la Haute Barde";"37";"37360";"BEAUMONT LA RONCE";"37021";470233;2286950;"CALCAIRE"
"SMBP - Bois brûlé";"Vers Prasville - Le Bois brûlé -";"28";"28150";"BOISVILLE LA ST PERE";"28047";553804;2366373;"CALCAIRE"
"CEMEX GRANULATS - Fosse Aubert";"La Fosse Aubert";"28";"28150";"BEAUVILLIERS";"28032";552534;2366297;"CALCAIRE"
"CMGO Bonneuil  (ex RAMBAUD)";"Cote de Puydasseau";"36";"36310";"BONNEUIL";"36020";516434;2153915;"GNEISS"
"Sarl Villeronce - SGM roche Cariacou";"lieu dit ""crique cariacou balaté""";"973";"97320";"ST LAURENT DU MARONI";"97311";169800;547500;"GRANITE"
"SCC ""Carrière des Chevaux""";"Montagne des chevaux";"973";"97311";"ROURA";"97310";332500;493800;"GRANITE"
"Car BLANCHARD SARL (Grand Case)";"Carrière de l'Espérance";"971";"97150";"ST MARTIN";"97127";495530;2000552;"ANDESITES"
"EIFFAGE TP  - Marivat  (Ex Routière Guya";"";"973";"97355";"MACOURIA";"97305";340588;547375;"GRANITE"
"SGDG "" Matiti""";"lieu dit ""Singes Rouges""";"973";"97310";"KOUROU";"97304";324474;553182;"GRANITE"
"BLANCHARD Carrière Croix Rivail";"Carrière de Croix Rivail";"972";"97224";"DUCOS";"97207";720081;1615617;"ANDESITES"
"GRAVILLONORD - Carrière Petit Galion";"""Petit Galion""";"972";"97231";"LE ROBERT";"97222";722213;1626883;"ANDESITES"
"CDC - Habitation Desportes";"Habitation Desportes";"972";"97228";"STE LUCE";"97227";715029;1616846;"ANDESITES"
"SCC ""Laussat""";"lieu dit ""Laussat""";"973";"97318";"MANA";"97306";214389;603180;"GRANITE"
"SCC ""Maringouins""";"lieu dit les Maringouins";"973";"97300";"CAYENNE";"97302";354120;542303;"GRANITE"
"SCC ""Roche Corail""";"lieu dit ""Roche Corail""";"973";"97310";"KOUROU";"97304";303446;564171;"GRANITE"
"EIFFAGE TP "" Renner"" (ex Routière G )";"Crique Renner";"973";"97315";"SINNAMARY";"97312";292552;587932;"GRANITE"
"SCC ""Roche Savane""";"lieu dit ""Roche Savane""";"973";"97380";"OUANARY";"97314";425552;466183;"GRANITE"
"Car SADG ";"Carrière de Guyonneau Deshaies";"971";"97126";"DESHAIES";"97111";629723;1803742;"ANDESITES"
"Car SOFAGRADE SARL";"Carrière de Auvent Désirade";"971";"97127";"LA DESIRADE";"97110";712580;1807500;"ANDESITES"
"CDC - Carrière Long Pré";"Long Pré";"972";"97210";"LE LAMENTIN";"97213";714602;1619005;"ANDESITES"
"SNEC MAC - Carrière La Reprise";"Habitation La Reprise";"972";"97215";"RIVIERE SALEE";"97221";721422;1608143;"ANDESITES"
"GRAVILLONORD - Carrière La Digue";"La Digue";"972";"97231";"LE ROBERT";"97222";720444;1626649;"ANDESITES"
"SECPA - Carrière Morne Jalouse";"PAQUEMAR";"972";"97280";"LE VAUCLIN";"97232";732341;1606354;"ANDESITES"
